,tarih,city,city2,title,content
52,01.11.2024,adana,Adana,Kozan'da Uyuşturucu Hap Operasyonu,  Adana'nın Kozan ilçesinde evinin bahçesinde bin 569 uyuşturucu hap ele geçirilen şüpheli tutuklandı.  
53,01.11.2024,adana,Adana,Adana'da Otoyol Kenarında Yangın Söndürüldü,  Adana'nın Sarıçam ilçesinde otoyol kenarındaki ağaçlık alanda çıkan yangın itfaiye tarafından söndürüldü.  
54,01.11.2024,adana,Adana,Kuyumcuyu Vuran Hırsız Yakalandı,"  Adana'da kuyumcuyu tabancayla yaralayan hırsız Okan B. yakalandı, çalınan eşyalar ele geçirildi.  "
55,01.11.2024,adana,Adana,Adana'da Kuyumcu Soygunu: Şüpheli Yakalandı,"  Kuyumcu dükkanını soyan ve sahibini yaralayan Okan B. tutuklandı, gasbedilen altın bulundu.  "
56,01.11.2024,adana,Adana,Adana'da Kuyumcu Soyguncusu Yakalandı,"  Kuyumcudan 900 gram altın çalan şüpheli, 'baykuş gözü' dövmesiyle tespit edilip yakalandı.  "
57,31.10.2024,adana,Adana,Adana'da Ruhsatsız Silah ve Uyuşturucu Ele Geçirildi,  Adana'da ruhsatsız 3 silah ve 32 uyuşturucu hap bulunan iş yeri baskınında bir şüpheli gözaltına alındı.  
58,30.10.2024,adana,Adana,Kozan'da Hırsızlık Yapan 3 Kişi Tutuklandı,  Adana'nın Kozan ilçesinde araç hırsızlığı yapan 3 kişi tutuklandı. Olayla ilgili soruşturma devam ediyor.  
59,30.10.2024,adana,Adana,Adana'da Hırsızlık Yapan 4 Kadın Tutuklandı,  Şık giyinip dairelerden 950 bin lira değerinde ziynet eşyası çalan 4 kadın tutuklandı.  
60,15:50,adıyaman,Adıyaman,Adıyaman'da Uyuşturucu Operasyonu: 4 Gözaltı,"  Adıyaman'da yapılan operasyonda 146 gram uyuşturucu ele geçirildi, 4 şüpheli gözaltına alındı.  "
61,15:28,adıyaman,Adıyaman,Adıyaman Doğa Koleji'nde Öğretmenler Günü Kutlandı,  24 Kasım Öğretmenler Günü için düzenlenen etkinlikte konuşmalar ve müzik performansları sergilendi.  
62,15:28,adıyaman,Adıyaman,Adıyaman'da Uyuşturucu Operasyonu: 17 Gözaltı,"  Adıyaman'da jandarma, uyuşturucu denetimlerinde 17 kişiyi yakaladı, çeşitli maddeler ele geçirildi.  "
63,14:58,adıyaman,Adıyaman,Samsat'ta Meclis Toplantısı Yapıldı,"  Köylere Hizmet Götürme Birliği, 2025 bütçesi ve faaliyet raporunu oybirliğiyle kabul etti.  "
64,14:58,adıyaman,Adıyaman,Besni'de Dolu Yerini Kara Bıraktı,"  Besni'de aniden bastıran dolu yağışı, kar yağışına dönüşerek ilçeyi beyaza bürüdü.  "
65,14:58,adıyaman,Adıyaman,Besni'de Tır Kazası Trafiği Kitledi,"  Adıyaman Besni'de yoldan çıkan tır, trafiği 2 saat aksatarak alternatif yoldan ulaşımı sağladı.  "
66,14:56,adıyaman,Adıyaman,Adıyaman'da 4 Kişi Uyuşturucu İle Yakalandı,"  Adıyaman'da narkotik ekipleri tarafından durdurulan 4 kişi, uyuşturucu ile gözaltına alındı.  "
67,13:34,adıyaman,Adıyaman,Adıyaman Belediye Başkanı Tutdere'den Ortaokul Öğretmeni Ahmet Yılmaz'a Ziyaret,"  Adıyaman Belediye Başkanı Abdurrahman Tutdere, 24 Kasım Öğretmenler Günü’nde ortaokul öğretmeni Ahmet Yılmaz’ı ziyaret etti. Başkan Tutdere, ""Bugün Ahmet hocam nezdinde, Türkiye’nin dört bir yanında büyük fedakârlıklarla görev yapan tüm öğretmenlerimizin Öğretmenler Günü’nü kutluyorum"" dedi.  "
68,11:46,adıyaman,Adıyaman,Çelikhan'da Mevsimin İlk Karı Düştü,"  Adıyaman'ın Çelikhan ilçesinde mevsimin ilk karı yağdı, ekipler yolların açık kalması için çalışıyor.  "
69,11:18,adıyaman,Adıyaman,Adıyaman'da 5 Kişi Karbonmonoksitten Zehirlendi,"  Aydın Eren ailesi, Adıyaman'da karbonmonoksit zehirlenmesi sonrası hastaneye kaldırıldı.  "
70,11:14,adıyaman,Adıyaman,Mersin'de 455 kg Kaçak Tütün Ele Geçirildi,"  Jandarma, Mersin'de bir araçta 455 kilogram kaçak tütün yakaladı; 1 kişi gözaltına alındı.  "
71,11:02,adıyaman,Adıyaman,Adıyaman'da Horoz Dövüşüne Baskın,"  Horoz dövüştüren 6 kişi Adıyaman'da polis tarafından gözaltına alındı, soruşturma başlatıldı.  "
72,09:53,adıyaman,Adıyaman,Kahta'da 'Marka Şehir Vizyonu' Paneli Büyük İlgi Gördü,"  Adıyaman'ın Kahta ilçesinde düzenlenen 'Marka Şehir Vizyonu' paneli, katılımcılardan yoğun ilgi gördü. Belediye Başkanı Mehmet Can Hallaç'ın başkanlığında gerçekleştirilen etkinlikte akademisyenler ve yerel yöneticiler, Kahta'nın sorunları üzerine çözüm önerilerini tartıştı.  "
73,01:07,adıyaman,Adıyaman,Çelikhan'da İlk Kar Yağışı,"  Çelikhan'da mevsimin ilk kar yağışı başladı, ilçeyi beyaza bürüdü ve rüzgarlı hava etkili oldu.  "
74,20:48,adıyaman,Adıyaman,Kayıp Genç Nissibi Köprüsü'nde Bulundu,  Adıyaman'da 19 gündür kayıp olan Mahmut Gazi Çiğdem'in cesedi Nissibi Köprüsü altında bulundu.  
75,17:58,adıyaman,Adıyaman,Kayıp Genç Mahmut Gazi Çiğdem Bulundu,  Adıyaman'da 18 gün kayıp olan 27 yaşındaki Mahmut Gazi Çiğdem'in cansız bedenine ulaşıldı.  
76,17:55,adıyaman,Adıyaman,Jandarma Uzman Çavuş Musa Dağ Kalp Krizi Nedeniyle Hayatını Kaybetti,"  Adıyaman'ın Sincik ilçesinde kalp krizi geçiren Jandarma Uzman Çavuş Musa Dağ, hastanede yapılan tüm müdahalelere rağmen kurtarılamadı. Cenazesi, memleketi Kırşehir'e uğurlandı.  "
77,17:36,adıyaman,Adıyaman,Kalp Krizi Geçiren Jandarma Uzman Çavuş Musa Dağ Hayatını Kaybetti,"  Adıyaman'ın Sincik ilçesinde, evinde kalp krizi geçirerek hastaneye kaldırılan Jandarma Uzman Çavuş Musa Dağ, tüm müdahalelere rağmen kurtarılamadı. Cenazesi düzenlenen törenle memleketi Kırşehir'e uğurlandı.  "
78,17:35,adıyaman,Adıyaman,Adıyaman'da '04.17 Belgesel Film Atölyesi' Kameralı Eğitimler Başladı,"  Adıyaman Belediyesi tarafından kurulan '04.17 Belgesel Film Atölyesi'nde, amatör kadınlar için kamera kullanımı ve röportaj teknikleri eğitimleri verilmeye başlandı. Eğitimler, deprem sonrası kadınların yaşamına dair belgesel çekimlerini desteklemeyi amaçlıyor.  "
79,17:20,adıyaman,Adıyaman,Kalp Krizi Geçiren Jandarma Hayatını Kaybetti,"  Sincik'te kalp krizi geçiren Jandarma Uzm. Çvş. Musa Dağ, hastanede yaşamını yitirdi.  "
80,17:01,adıyaman,Adıyaman,Adıyaman İl Sağlık Müdürlüğü Yeni Binasında Hizmette,"  Adıyaman İl Sağlık Müdürlüğü, deprem sonrası yeni binasında hizmet vermeye başladı.  "
81,16:51,adıyaman,Adıyaman,Adıyaman'da Yağmur Cadde ve Sokakları Göle Çevirdi,"  Meteoroloji Genel Müdürlüğü'nün sarı kod ile uyardığı Adıyaman'da etkili olan yağmur sonrası bazı cadde ve sokaklar suya gömüldü. Araç sürücüleri zor anlar yaşarken, belediye ekipleri tıkanan alt yapıyı açmak için müdahale etti.  "
82,16:42,adıyaman,Adıyaman,Gölbaşı'nda İlk Kar Sevinci,"  Gölbaşı'nda mevsimin ilk karı Tavşan Tepesi'ne yağdı, halk sevinçle karşıladı.  "
83,16:38,adıyaman,Adıyaman,Depremde Ampute Olan Müdür Eğitime Döndü,"  İsmet Kaya, deprem sonrası iki bacağı ampute edilmesine rağmen eğitime devam ediyor.  "
84,16:30,adıyaman,Adıyaman,Gölbaşı'nda Şiddetli Rüzgar Çatıyı Uçurdu,"  Adıyaman'ın Gölbaşı ilçesinde etkili olan yağmur ve rüzgar, bir iş yerinin çatısının uçmasına neden oldu. Neyse ki cadde üzerinde kimsenin olmaması olası bir faciayı engelledi. Belediyenin ekipleri çatıyı kaldırma çalışmalara başladı.  "
85,13:43,adıyaman,Adıyaman,"Uzman Çavuş Musa Dağ, Kalp Krizi Sonucu Hayatını Kaybetti","  Adıyaman'ın Sincik ilçesinde görevli olan 29 yaşındaki uzman çavuş Musa Dağ, kalp krizi geçirerek hayatını kaybetti. Hastanedeki tüm müdahalelere rağmen kurtarılamayan Dağ için düzenlenen cenaze töreninde birçok kişi hazır bulundu.  "
86,13:38,adıyaman,Adıyaman,Adıyaman'da Kadınlara Yönelik Belgesel Film Atölyesi Kuruldu,"  Adıyaman Belediyesi tarafından kurulan 04.17 Belgesel Film Atölyesi'nde, kadınların deprem sonrası yaşadıkları zorlukları belgelendirmek amacıyla kamera eğitimleri verilmeye başlandı. Eğitimler, kursiyerlere teknik bilgilerin yanı sıra belgesel yapım aşamaları hakkında detaylar sağlayacak.  "
87,12:48,adıyaman,Adıyaman,"Bakan Kurum, Adıyaman'da depremzede öğretmenin yeni evine misafir oldu","  Çevre, Şehircilik ve İklim Değişikliği Bakanı Murat Kurum, depremde evi yıkılan Başöğretmen Şemsettin Güler'i yeni evinde ziyaret etti.  "
88,12:48,adıyaman,Adıyaman,Gaziantep ve çevre illerde Öğretmenler Günü dolayısıyla törenler düzenlendi,"  Gaziantep, Şanlıurfa, Kahramanmaraş, Malatya, Adıyaman ve Kilis'te, 24 Kasım Öğretmenler Günü dolayısıyla törenler yapıldı.  "
89,11:16,adıyaman,Adıyaman,"Depremde eşini ve meslektaşlarını kaybeden Saadet öğretmen, öğrencileriyle hayata tutunuyor","  Kahramanmaraş merkezli 6 Şubat 2023'teki depremlerde aile hekimi olan eşini ve birçok meslektaşını kaybeden Saadet öğretmen, terk etmediği Adıyaman'da öğrencileriyle hayata tutunuyor.  "
90,23.11.2024,adıyaman,Adıyaman,"Bakan Kurum: ""130 bin ailemizi yuvalarına kavuşturduk""","  6 Şubat depremlerinde ağır hasar alan iller arasında bulunan Adıyaman'da, Meydan ve Ticaret Merkezlerinin temel atma töreni Çevre, Şehircilik ve İklim Değişikliği Bakanı Murat Kurum'un katılımıyla gerçekleştirildi.  "
91,23.11.2024,adıyaman,Adıyaman,Deprem Bölgesinde Dev Yatırım,"  Bakan Kurum, deprem bölgesinde 200 bin yeni konut hedeflediklerini açıkladı.  "
92,23.11.2024,adıyaman,Adıyaman,Adıyaman Belediye Başkanı Tutdere'den 24 Kasım Öğretmenler Günü Mesajı,"  Adıyaman Belediye Başkanı Abdurrahman Tutdere, “Tüm öğretmenlerimizin 24 Kasım Öğretmenler Günü’nü kutluyor, her zaman onların yanında olduğumuzu vurguluyorum” mesajını yayımladı.  "
93,23.11.2024,adıyaman,Adıyaman,Bakan Kurum Adıyaman'da Koordinasyon Toplantısı Düzenledi,"  Kurum, Adıyaman'da depremlerin etkilerini değerlendirdi, 30 bin ev teslimatı hedeflendi.  "
94,23.11.2024,adıyaman,Adıyaman,Adıyaman'da Alternatif Yol Trafiğe Açıldı,"  Adıyaman Belediyesi, 400 Yataklı Eğitim ve Araştırma Hastanesi kavşağındaki trafik yoğunluğunu azaltmak amacıyla yeni bir alternatif yolu trafiğe açtı. Bu yol, hastaneye ulaşımı kolaylaştıracak.  "
95,23.11.2024,adıyaman,Adıyaman,Bakan Kurum Adıyaman'a 5. Ziyaretini Gerçekleştirdi,"  Çevre, Şehircilik ve İklim Değişikliği Bakanı Murat Kurum, Adıyaman'da 17 bin 713 ev ve iş yerinin depremzedelere teslim edildiğini açıkladı. Yıl sonuna kadar bu sayının 30 bine çıkması bekleniyor.  "
96,23.11.2024,adıyaman,Adıyaman,Alkayış'tan Öğretmenler Günü Kutlaması,"  Mustafa Alkayış, öğretmenlerin emek ve sabır gerektirdiğini belirterek, 24 Kasım'ı kutladı.  "
97,23.11.2024,adıyaman,Adıyaman,Otomobil ile motosiklet çarpıştı: 1 yaralı,  Adıyaman'da otomobil ile motosikletin çarpışması sonucu 1 kişi yaralandı.  
98,23.11.2024,adıyaman,Adıyaman,Kaymakam Seyhan'dan Bakan Tekin'e Ziyaret,"  Gölbaşı Kaymakamı Seyhan ve Milletvekili Özhan, Bakan Tekin'e eğitim yatırımları için teşekkür etti.  "
99,23.11.2024,adıyaman,Adıyaman,Adıyaman Belediyesi Yeni Alternatif Yol ile Trafiği Rahatlatıyor,"  Adıyaman Eğitim ve Araştırma Hastanesi kavşağındaki trafik yoğunluğunu önlemek için alternatif yol trafiğe açıldı. Yeni yol, Adıyaman-Kahta Karayolu'nu hastaneye bağlayarak ulaşımı kolaylaştıracak.  "
100,22.11.2024,adıyaman,Adıyaman,Adıyaman'da 13 Yıl Hapis Cezalı Firari Yakalandı,  Silahlı yağma suçundan 13 yıl hapis cezası bulunan S.K. Adıyaman'da yakalandı.  
101,22.11.2024,adıyaman,Adıyaman,Hapis Cezası Olan Şahıs Adıyaman'da Yakalandı,"  Silahla yağma suçundan 13 yıl hapis cezası bulunan S.K., jandarma tarafından yakalandı.  "
102,22.11.2024,adıyaman,Adıyaman,Adıyaman'da Uyuşturucu Yakalandı,"  Şüpheli B.Ç'nin üstünde 70 gram sentetik uyuşturucu bulundu, gözaltına alındı.  "
103,22.11.2024,adıyaman,Adıyaman,Diş Hekimleri Günü Adıyaman'da Kutlandı,  Adıyaman'da 22 Kasım Diş Hekimleri Günü ve Ağız ve Diş Sağlığı Haftası etkinlikle kutlandı.  
104,22.11.2024,adıyaman,Adıyaman,Yazar Fahrettin Çelik'e KKTC'de Yoğun İlgi,  Kuzey Kıbrıs Türk Cumhuriyeti'nde düzenlenen söyleşi ve kitap tanıtım programında Yazar Fahrettin Çelik'e yoğun ilgi gösterildi. Etkinlikte Adıyamanlı yazarın yeni romanı 'Fırat'ın iki yakası' tanıtıldı ve katılımcılara plaketler verildi.  
105,22.11.2024,adıyaman,Adıyaman,Adıyaman'da Uyuşturucu Ele Ge geçirildi,"  Mahalle bekçileri, B.Ç. isimli şahsı durdurup 70 gram uyuşturucu madde ele geçirdi.  "
106,22.11.2024,adıyaman,Adıyaman,Öğretmenler Günü'nde Deprem Şehitleri Anıldı,"  Adıyaman'da, Öğretmenler Günü'nde depremde hayatını kaybeden öğretmenler anıldı.  "
107,22.11.2024,adıyaman,Adıyaman,19 Yıl Ceza Alan Şahıs Adıyaman'da Yakalandı,  Uyuşturucu ticareti suçundan 19 yıl kesinleşmiş cezası bulunan T.D. cezaevine gönderildi.  
108,22.11.2024,adıyaman,Adıyaman,Adıyaman'da Çalıntı Malzeme Yakalandı,"  İnşaattan malzeme çalan şahıs, jandarma tarafından yakalanarak gözaltına alındı.  "
109,21.11.2024,adıyaman,Adıyaman,Besni'de Taşlı Sopalı Kavga: 4 Yaralı,  Adıyaman'ın Besni ilçesinde iki grup arasında çıkan kavgada 4 kişi yaralandı.  
110,21.11.2024,adıyaman,Adıyaman,"AK Parti Adıyaman İl Başkanı Kablan, Çamur ve Çukur Sorununu Gündeme Getirdi","  AK Parti Adıyaman İl Başkanı Faruk Bülent Kablan, yağışlar sonrası şehrin çamur deryasına döndüğünü ve Adıyaman Belediyesi'ni önlem almamakla suçlayarak, acil tedbirler alınması gerektiğini vurguladı.  "
111,21.11.2024,adıyaman,Adıyaman,"Adıyaman Belediyesi Çocuk Korosu, Dünya Çocuk Hakları Günü'nde Sahne Aldı","  Adıyaman Belediyesi Çocuk Korosu, 20 Kasım Dünya Çocuk Hakları Günü'nde düzenlenen etkinlikte ilk kez sahneye çıkarak izleyicilere unutulmaz bir konser sundu. Etkinlikte çocuklar solo türkü ve enstrüman performanslarıyla büyük beğeni topladı.  "
