,tarih,city,city2,title,content,suc_turu
43,2024-01-11 00:00:00,adana,adana,Kozan'da Uyuşturucu Hap Operasyonu,  Adana'nın Kozan ilçesinde evinin bahçesinde bin 569 uyuşturucu hap ele geçirilen şüpheli tutuklandı.  ,Narkotik Suçları
44,2024-09-11 00:00:00,adana,adana,Taksi Şoföründen Pompalı Tüfekli Saldırı,"  Adana'da bir taksi şoförü, yolcu anlaşmazlığı sonrası rakip şoförü ve akrabalarını vurdu.  ",Şiddet Suçları
46,2024-11-20 00:00:00,adana,adana,Uyuşturucu Tüccarı Yakalandı,"  Adana'da, 21 yıl cezası olan Şahin K., sahte kimlikle yakalanarak uyuşturucu ile sevk edildi.  ",Narkotik Suçları
49,2024-10-29 00:00:00,adapazarı,sakarya,Kavgadan Kaçarken Hayatını Kaybetti,"  Adapazarı'nda kavga sırasında çelme takılan genç, otomobilin altında kalarak 4 gün sonra öldü.  ",Şiddet Suçları
50,2024-05-11 00:00:00,adapazarı,sakarya,Alkollü Sürücü 11 Yaşındaki Kızı Hayatından Etti,"  Sakarya'da 3,34 promil alkollü sürücü, yaya geçidinden geçen 11 yaşındaki kızı ezip kaçtı.  ",Şiddet Suçları
52,2024-08-31 00:00:00,adapazarı,sakarya,Sakarya'da Mahalle Sakinleri Uyuşturucu ve Kaçak Yapılara Tepki Gösterdi,"  Sakarya'nın Adapazarı ilçesindeki Karaköy Mahallesi'nde uyuşturucu ticareti ve kaçak yapılaşma nedeniyle mahalle sakinleri, sokağı ulaşıma kapattı. Polis ekiplerinin ikna çalışmaları sonucunda yol yeniden açıldı. Mahalle sakinleri, yetkililerden destek isteyerek güvenli bir yaşam talep etti.  ",Narkotik Suçları
53,2024-10-30 00:00:00,adapazarı,sakarya,Öldüren Çelme Olayında 3 Gözaltı,  Sakarya'da bir gencin ölümüne sebep olan olayda 3 şüpheli gözaltına alındı.  ,Şiddet Suçları
54,2024-05-11 00:00:00,adapazarı,sakarya,"Alkollü Sürücü Çocuğu Öldürdü, Tutuklandı","  Sakarya'da alkollü sürücünün çarptığı 11 yaşındaki Zühre Deniz Akdağ yaşamını yitirdi, tutuklandı.  ",Şiddet Suçları
68,2024-11-21 00:00:00,adıyaman,adıyaman,Besni'de Taşlı Sopalı Kavga: 4 Yaralı,  Adıyaman'ın Besni ilçesinde iki grup arasında çıkan kavgada 4 kişi yaralandı.  ,Şiddet Suçları
76,2024-10-17 00:00:00,afyonkarahisar,afyonkarahisar,Afyon'da Tur Otobüsü Devrildi: 22 Yaralı,"  Afyonkarahisar'da Japon turistleri taşıyan otobüs devrildi, 22 kişi yaralandı.  ",Şiddet Suçları
99,2022-10-07 00:00:00,ahmetli,manisa,Traktör kasasını seraya çevirip kenevir yetiştirmiş,  Manisa'nın Ahmetli ilçesinde traktörünün kasasını seraya çevirip kenevir yetiştirdiği tespit edilen şahıs gözaltına alındı.  ,Narkotik Suçları
102,2023-01-30 00:00:00,ahmetli,manisa,Prefabrik ev yüklü tırda 10 milyon 375 bin kaçak sigara ele geçirildi,  Manisa'nın Ahmetli ilçesinde gerçekleştirilen kaçak sigara operasyonunda 10 milyon 375 bin kaçak sigara ele geçirildi.  ,Ekonomik Suçlar
104,2022-06-25 00:00:00,ahırlı,konya,Konya'da takla atan otomobildeki 2 kaymakam yaralandı,"  KONYA'da, takla atarak, şarampole devrilen otomobildeki Ahırlı Kaymakamı Alperen Celepci ile Yalıhüyük Kaymakamı İbrahim Yazıcı yaralandı.  ",Şiddet Suçları
106,2019-03-25 00:00:00,ahırlı,konya,Konya'da Arı Kovanı Hırsızlığı,  Konya'nın Ahırlı ilçesinde arıcılık yapan kişinin 12 arı kovanı çalındı.  ,Mala Karşı İşlenen Suçlar
111,2019-05-08 00:00:00,ahırlı,konya,Otomobil sulama kanalına düştü: 1 ölü (2) - KONYA,  Konya'nın Ahırlı ilçesinde sulama kanalına düşen otomobilin sürücüsü hayatını kaybetti.  ,Şiddet Suçları
127,2024-11-22 00:00:00,akdeniz,mersin,Mersin'de Kadına Yönelik Şiddete Dikkat Çeken Panel Düzenlendi,"  Mersin'in Akdeniz Belediyesi, '25 Kasım Kadına Yönelik Şiddetle Uluslararası Mücadele Günü' nedeniyle düzenlediği panelde, kadın hareketinin önemi ve toplumsal cinsiyet eşitliği konularında görüşler paylaşıldı.  ",Şiddet Suçları
128,2024-08-21 00:00:00,akhisar,manisa,Engelli Vatandaşa Linç Girişimine Tepki: 'Koruma Kararı' Alındı,"  Manisa'nın Akhisar ilçesinde engelli bir vatandaşın hamile eşini döven şahsa müdahale etmediği gerekçesiyle sosyal medyada tepki gösterildi. Ancak yapılan açıklamada, vatandaşın yüzde 60 engelli olduğu ve felç riskinin bulunduğu ortaya çıktı. Manisa Valiliği tarafından da şiddete uğrayan kadın için 'Koruma Kararı' alındığı belirtildi.  ",Şiddet Suçları
129,2024-10-15 00:00:00,akhisar,manisa,Akhisar'da Silah ve Uyuşturucu Operasyonu,"  JASAT, Akhisar'da düzenlediği operasyonda ruhsatsız silah ve uyuşturucu ele geçirirken 1 kişi tutuklandı.  ",Narkotik Suçları
131,2024-08-22 00:00:00,akhisar,manisa,Manisa'da Hamile Kadına Şiddet: 'Çocuğumu Aldıracağım',"  Manisa'nın Akhisar ilçesinde gayri resmi nikahlı eşi tarafından şiddete maruz kalan hamile kadın, şiddet uygulayan kişinin cezaevinden çıkmasından korktuğunu söyledi. Kadın, çocuğunu aldırmaya karar verdiğini belirtti.  ",Şiddet Suçları
132,2024-07-08 00:00:00,akhisar,manisa,Manisa'da tartışma sonucu damat öldürüldü,  Manisa'nın Akhisar ilçesinde tartıştığı kayınpederi tarafından başından vurularak ağır yaralanan damat kaldırıldığı hastanede hayatını kaybetti. Olayla ilgili soruşturma devam ediyor.  ,Şiddet Suçları
133,2024-08-21 00:00:00,akhisar,manisa,"Dini nikahlı eşini sokak ortasında öldüresiye dövdü, esnaf tarafından linç edildi","  MANİSA'nın Akhisar ilçesinde, dini nikahlı eşi Sude Naz Atak'ı (19) 3 yaşındaki oğlunun önünde, sokak ortasında öldüresiye döven Yılmaz Akman (37) çevredeki esnaflar tarafından linç edildi.  ",Şiddet Suçları
134,2024-09-25 00:00:00,akhisar,manisa,Dini Nikahlı Kadını Sokak Ortasında Döven Şüpheli Yargılanıyor,"  Manisa'nın Akhisar ilçesinde, dini nikahla birlikte yaşadığı hamile Sude Naz A.'yı döven Yılmaz Akman, tutuklanarak yargılanmaya başladı. Olay 16 Ağustos'ta yaşandı ve Akman, alkol etkisiyle davrandığını iddia etti. Mahkeme, olayın bilinçli yapıldığını belirtip alkolün bir mazeret olamayacağını vurguladı. Akman'ın 6,5 yıla kadar hapis cezasıyla yargılanması bekleniyor.  ",Şiddet Suçları
136,2022-06-05 00:00:00,akkuş,ordu,Son dakika haber | İş yeri önüne araç park edilmesi nedeniyle çıkan kavgada 1 kişi öldü,  Son dakika haberi: Ordu'da iş yeri önüne araç park edilmesi nedeniyle çıkan silahlı kavgada bir kişi hayatını kaybetti.  ,Şiddet Suçları
138,2021-07-27 00:00:00,akkuş,ordu,Son dakika haber | Ordu'daki silahlı çatışmada ölü sayısı 3'e çıktı,"  Gelen son dakika haberine göre Ordu'nun Akkuş ilçesinde iki grup arasında 2 gün önce çıkan ve olay günü 2 kişinin öldüğü, 3 kişinin de yaralandığı silahlı çatışmada bir kişi daha hastanede hayatını kaybetti.  ",Şiddet Suçları
141,2022-10-08 00:00:00,akkuş,ordu,Ordu'da bıçaklı kavga: 1 yaralı,  Ordu'nun Ünye ilçesinde 2 şahıs arasında çıkan tartışmanın kavgaya dönüşmesi üzerine 1 kişi bıçaklanarak yaralandı.  ,Şiddet Suçları
142,2021-07-27 00:00:00,akkuş,ordu,Akkuş'ta akrabaların silahlı kavgasında ölü sayısı 3 oldu,"  ORDU'nun Akkuş ilçesinde, akrabalar arasında iş anlaşmazlığı nedeniyle çıkan, babası Şahin Duman (70) ile kardeşi Ömer Duman'ın (28) hayatını kaybettiği silahlı kavgada yaralanan Şakir Duman (45), tedavi gördüğü hastanede kurtarılamadı.  ",Şiddet Suçları
143,2021-05-10 00:00:00,akkuş,ordu,Ordu'da kaçak kazı yapan 4 kişi suçüstü yakalandı,  Ordu'nun Akkuş ilçesinde kaçak kazı yapan 4 zanlı yakalandı.  ,Mala Karşı İşlenen Suçlar
145,2020-07-06 00:00:00,akkışla,kayseri,Akkışla İlçe Emniyetinin Acı Günü,  Erciyes Üniversitesi'nde tedavi gören polis memuru hayatını kaybetti.  ,Şiddet Suçları
148,2020-01-21 00:00:00,akkışla,kayseri,Kayseri kafası bidona sıkışan köpeği jandarma kurtardı,"  Kafası bidona sıkışan köpeği jandarma kurtardıKAYSERİ'nin Akkışla ilçesinde, kafası plastik bidona sıkışan yavru köpeği jandarma ekipleri kurtardı.  ",Şiddet Suçları
155,2024-01-20 00:00:00,akpınar,kırşehir,Sevgilisi tarafından öldürülen genç kadın gözyaşlarıyla toprağa verildi,"  Manisa'nın Saruhanlı ilçesinde tartıştığı sevgilisi tarafından otomobilinde başından vurularak öldürülen Melike Akpınar'ın cenazesi, ailesi ve sevenleri tarafından gözyaşlarıyla toprağa verildi. Olayın ardından kaçan sevgili ise intihar etti. Genç kadının babası ise daha önce üç kadını öldürdüğü için cezaevinde bulunuyor.  ",Şiddet Suçları
161,2024-11-19 00:00:00,aksaray,aksaray,Aksaray'da Park Yeri Kavgası: 2 Yaralı,"  Aksaray'da park yeri nedeniyle çıkan kavgada 2 kişi yaralandı, 3 şüpheli gözaltına alındı.  ",Şiddet Suçları
162,2024-11-17 00:00:00,aksaray,aksaray,Aksaray'da Çocuklar Otomobilin Çarpmasıyla Yaralandı,  Aksaray'da karşıdan karşıya geçerken otomobil çarpan 2 çocuk hastaneye kaldırıldı.  ,Şiddet Suçları
165,2024-11-21 00:00:00,aksaray,aksaray,Aksaray'da Kadın Cinayeti,"  44 yaşındaki Nargül Adak, evinde tabancayla ölü bulundu; eşi gözaltına alındı.  ",Şiddet Suçları
166,2024-11-19 00:00:00,aksaray,aksaray,Aksaray'da Kaçak Sigara Operasyonu,"  Aksaray'da yapılan operasyonda 69 bin kaçak sigara ve 49 bin makaron ele geçirildi, 3 kişi yakalandı.  ",Ekonomik Suçlar
167,2024-11-22 00:00:00,aksaray,aksaray,Polis Memuru Silahını Temizlerken Çocuk Vurdu,"  Aksaray'da polis memuru G.Ö., güvenlik kulübesinde silahını temizlerken kazara ateş alması sonucu 8 yaşındaki Efe C.D.'nin bacağından vurulmasına neden oldu. Olay sonrası G.Ö. tutuklandı.  ",Şiddet Suçları
175,2022-05-10 00:00:00,akseki,antalya,Akseki'de hırsızlık şüphelisi tutuklandı,  Antalya'nın Akseki ilçesinde 6 evden hırsızlık yaptığı iddia edilen şüpheli tutuklandı.  ,Mala Karşı İşlenen Suçlar
182,2024-11-22 00:00:00,aksu,antalya,İzmir'de yanlış park eden aracın sileceğini kaldıran kadına 5 bin lira ceza,"  İzmir'de otomobilin park yerini uygunsuz bulan bir kadın, sileceğini kaldırırken orta soket kısmı yerinden çıktı. Otomobilin sahibi aracına zarar verdiği gerekçesiyle konuyu yargıya taşıdı. Mahkeme, sileceği kaldıran kadına verdiği 1 yıl hapis cezasını 5 bin lira adli para cezasına çevirdi.  ",Mala Karşı İşlenen Suçlar
192,2024-08-22 00:00:00,akyazı,sakarya,Akyazı'da Kardeş Kavgası: Enişte Bıçaklandı,"  Sakarya'nın Akyazı ilçesinde iki kardeş arasında çıkan kavgayı ayırmak isteyen enişte, kalçasından bıçaklanarak yaralandı. Olayın ardından şüpheli gözaltına alındı.  ",Şiddet Suçları
193,2024-08-14 00:00:00,akyazı,sakarya,Apartmanda Tartışma Sonucu Silah Sesleri Panik Yarattı,"  Sakarya'nın Akyazı ilçesinde bir apartmanda çıkan tartışmada silah sesleri duyuldu. Olayda yaralanan olmazken, silahlı şüpheli gözaltına alındı. Polis olayla ilgili inceleme başlattı.  ",Şiddet Suçları
207,2024-02-04 00:00:00,akyurt,ankara,"Ankara'da Park Halindeki Otomobillerin Camları Kırıldı, Teypler Çalındı","  Ankara'nın Akyurt ilçesinde, kimliği belirsiz kişiler tarafından park halindeki 5 otomobilin camları kırıldı ve iki aracın teypleri çalındı. Olayın fark edilmesi üzerine polis ekipleri, zanlıları yakalamak için çalışma başlattı.  ",Mala Karşı İşlenen Suçlar
214,2024-04-11 00:00:00,akçaabat,trabzon,Akçaabat'ta Silahlı Kavga: 1 Ölü,"  Akçaabat'ta çıkan silahlı kavgada galerici Beytullah Komar hayatını kaybetti, kaçan şüpheli aranıyor.  ",Şiddet Suçları
216,2024-02-07 00:00:00,akçadağ,malatya,Malatya'da Tarım Aleti Hırsızlığı Şüphelileri Tutuklandı,"  Malatya'nın Akçadağ ilçesinde iki ayrı tarım aletinin çalındığı ihbarı üzerine yapılan çalışmalarda, M.D., S.K. ve Y.G. isimli 3 şüpheli yakalanarak gözaltına alındı. Çalıntı tarım aletleri sahiplerine teslim edilirken zanlılar tutuklanarak cezaevine gönderildi.  ",Mala Karşı İşlenen Suçlar
217,2024-04-21 00:00:00,akçadağ,malatya,Malatya'da 2 katlı ev alevlere teslim oldu,"  Malatya'nın Akçadağ ilçesinde, R.i.'ye ait iki katlı müstakil bir evde bilinmeyen bir nedenden dolayı yangın çıktı. Yangın sonucunda ev kullanılamaz hale geldi, ancak yaralanan olmadı. Yangının çıkış nedeniyle ilgili inceleme başlatıldı.  ",Mala Karşı İşlenen Suçlar
220,2024-04-21 00:00:00,akçadağ,malatya,Akçadağ'da kız meselesi yüzünden çıkan kavgada 1 kişi yaralandı,"  Malatya'nın Akçadağ ilçesinde, kız meselesi nedeniyle çıkan bıçaklı kavgada bir kişi yaralandı. Kavgaya tarafların yakınları da katıldı. Yaralı, hastaneye kaldırıldı ve olayla ilgili soruşturma başlatıldı.  ",Şiddet Suçları
224,2023-10-29 00:00:00,akçakale,şanlıurfa,Şanlıurfa'da çocukların tehlikeli yolculuğu kamerada,  Şanlıurfa'nın Akçakale ilçesinde çocukların kamyonetin arkasına tutunarak yaptıkları tehlikeli yolculuk cep telefonu kamerasına yansıdı.  ,Şiddet Suçları
225,2024-02-03 00:00:00,akçakale,şanlıurfa,Şanlıurfa'da telefon dolandırıcılığı operasyonu: 5 tutuklama,"  Şanlıurfa'nın Akçakale ilçesinde, telefon dolandırıcılığı operasyonunda gözaltına alınan 5 zanlı tutuklandı. Şanlıurfa İl Emniyet Müdürlüğü ekipleri, Akçakale Cumhuriyet Başsavcılığı koordinesinde yürütülen soruşturma çerçevesinde telefonla ulaştıkları kişilere kendilerini polis, hakim ve savcı diye tanıtarak dolandırıcılık yapanların yakalanmasına yönelik çalışma yaptı. Operasyonda 5 şüpheli gözaltına alındı. Adreslerde yapılan aramalarda şüphelilerin dolandırıcılık olaylarında kullandığı diz üstü bilgisayaralar ile çok sayıda dijital materyaller ele geçirildi. Emniyetteki işlemlerinin ardından adliyeye sevk edilen 5 zanlı tutuklanarak cezaevine gönderildi.  ",Ekonomik Suçlar
227,2024-03-26 00:00:00,akçakale,şanlıurfa,Şanlıurfa'da 1365 Paket Gümrük Kaçağı Sigara Ele Geçirildi,"  Şanlıurfa'nın Akçakale ilçesinde İl Emniyet Müdürlüğü ve İlçe Emniyet Müdürlüğü ekiplerinin kaçakçılıkla mücadele çalışmaları kapsamında gerçekleştirilen operasyonda 1365 paket gümrük kaçağı sigara ele geçirildi. Operasyon sonucunda gözaltına alınan 1 şüpheli, işlemleri için emniyete götürüldü.  ",Ekonomik Suçlar
229,2024-11-10 00:00:00,akçakale,şanlıurfa,Halk eğitim müdürü makam odasında canına kıydı,"  Şanlıurfa'nın Akçakale ilçesinde Halk Eğitim Merkezi Müdürü, makam odasında, beylik tabancasıyla intihar etti.  ",Şiddet Suçları
230,2024-07-23 00:00:00,akçakale,şanlıurfa,Makine ile salça yaparken elektrik akımına kapılan anne ve kızı hayatını kaybetti,  Şanlıurfa'da sabaha karşı saat 04.00 sıralarında damda makine ile salça yapan anne ile 15 yaşındaki kızı elektrik akımına kapılarak can verdi.  ,Şiddet Suçları
234,2017-05-12 00:00:00,akçakent,kırşehir,"Aksaray'da Aynı Yerde İki Ayrı Kaza: 1 Ölü, 4 Yaralı","  Aksaray'da aynı yerde iki ayrı kaza: 1 ölü, 4 yaralı Kazayı görüntülemeye çalışan basın mensupları jandarma görevlilerinin müdahalelerine maruz kaldıAKSARAY - Aksaray'da aynı yerde meydana gelen iki ayrı trafik kazasında 1 kişi öldü, 4 kişi yaralandı.  ",Şiddet Suçları
237,2020-08-10 00:00:00,akçakent,kırşehir,Ermenistan ordusu Goranboy'da polis karakolunu hedef aldıKarakolda büyük hasar oluştu,  - Ermenistan ordusu Goranboy'da polis karakolunu hedef aldı Karakolda büyük hasar oluştu Ermenistan birlikleri Goranboy'un Aşağı Akçakent kasabasında bulunan polis karakoluna saldırı gerçekleştirdi.  ,Şiddet Suçları
252,2019-01-10 00:00:00,akören,konya,Konya'da tuzakla keklik avına ceza,"  Konya'da, jandarma ekipleri tarafından yasa dışı yollarla tuzak kurarak keklik avladığı iddia edilen zanlı yakalandı.  ",Mala Karşı İşlenen Suçlar
253,2020-05-24 00:00:00,akören,konya,9 bayramdır kayıp oğlunun yolunu gözlüyor,"  KONYA'nın Akören ilçesinde, 4 yıl önce, evlerinin önünde oynarken kaybolan 6 yaşındaki Yasin Şahin'in aradan geçen süreye rağmen izine rastlanmadı.  ",Şiddet Suçları
255,2020-11-17 00:00:00,akören,konya,Son dakika haber! Kardeş kavgası kanlı bitti: 1 ölü,  Edinilen son dakika haberine göre KAHRAMANMARAŞ'ın Elbistan ilçesinde iki kardeş arasında çıkan bıçaklı kavgada Erman Ö. (36) hayatını kaybetti.  ,Şiddet Suçları
261,2024-11-01 00:00:00,akıncılar,sivas,Otomobilin yaya geçidindeki vatandaşa çarptığı anlar kamerada,"  Tekirdağ Çorlu'da otomobilin yaya geçidinden geçen yayaya çarptığı anlar kameraya yansıdı. Kaza sonrası yaya vatandaş hastaneye kaldırıldı. Kaza, Cemaliye Mahallesi Akıncılar Caddesi girişi Cumhuriyet Meydanı mevkiinde meydana geldi. Savrularak yere yığılan yaya Sevginaz K. (59), olay yerine gelen sağlık ekiplerinin ilk müdahalesinin ardından ambulansla Çorlu Devlet Hastanesi'ne kaldırıldı. Yayanın bir süre başında duran sürücü, ise daha sonra olay yerini terk etti. Kazayla ilgili polis tarafından inceleme başlatıldı. Kaza anı ise kameraya yansıdı.  ",Şiddet Suçları
264,2024-09-27 00:00:00,akşehir,konya,Akşehir'de Uyuşturucu ile Yakalanan Şahıs Cezaevine Gönderildi,  Akşehir'de aranması olan E.C. uyuşturucu ile yakalandı ve cezaevine gönderildi.  ,Narkotik Suçları
265,2024-08-15 00:00:00,akşehir,konya,Akşehir'de 250 Bin Adet Kaçak Sigara Ele Geçirildi,"  Konya'nın Akşehir ilçesinde yapılan bir ihbarı değerlendiren polis, durdurduğu bir araçta 250 bin adet doldurulmuş kaçak sigara buldu. Araçtaki 2 kişiden biri tutuklandı.  ",Ekonomik Suçlar
268,2024-09-30 00:00:00,akşehir,konya,Konya'da Takla Atan Araçta 2 Yaralı,"  Akşehir'de sürücüsünün direksiyon hakimiyetini kaybettiği otomobil takla attı, 2 kişi yaralandı.  ",Şiddet Suçları
270,2024-08-14 00:00:00,akşehir,konya,Akşehir'de düzenlenen kumar operasyonunda 6 şüpheli gözaltına alındı,  Konya'nın Akşehir ilçesinde bir kahvehanede düzenlenen kumar operasyonunda 6 şüpheli gözaltına alındı. Operasyonda masadaki 22 bin 615 liraya el konuldu ve 5 kişiye kumar oynadıkları gerekçesiyle 32 bin 125 lira ceza uygulandı.  ,Ekonomik Suçlar
273,2024-03-25 00:00:00,alaca,çorum,Çorum'da Otomobil ile Kamyon Çarpıştı: 1 Kişi Ağır Yaralandı,  Çorum'un Alaca ilçesinde meydana gelen trafik kazasında otomobil ile kamyon çarpıştı. Kazada 1 kişi ağır yaralandı. Kaza anı güvenlik kameralarına saniye saniye yansıdı.  ,Şiddet Suçları
276,2024-12-03 00:00:00,alaca,çorum,Çorum Alaca'da Polis Ekipleri Şok Uygulamalarına Devam Ediyor,"  Çorum'un Alaca ilçesinde, polis ekipleri asayiş ve huzur sağlanmasına yönelik şok uygulamalarını sürdürüyor. Alaca İlçe Emniyet Müdürlüğü'ne bağlı ekipler, Ankara Caddesi üzerinde yapılan uygulamada 100 kişinin GBT kontrolünü gerçekleştirdi ve 60 araçta alkol ve evrak kontrolü yaptı. Herhangi bir olumsuzlukla karşılaşılmazken, polis ekipleri huzur uygulamalarının ve şok denetimlerinin devam edeceğini bildirdi.  ",Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar
280,2023-11-23 00:00:00,alacakaya,elâzığ,Elazığ'da kayıp 40 küçükbaş hayvan bulundu,"  Elazığ'ın Alacakaya ilçesinde kaybolan 40 küçükbaş hayvan, jandarma ekiplerinin dron destekli çalışması sonucu bulundu. Hayvanlar sahibine teslim edildi.  ",Mala Karşı İşlenen Suçlar
283,2024-02-07 00:00:00,alacakaya,elâzığ,Elazığ'da Eti Krom Yıldırım A.Ş. işçileri eylem başlattı,"  Elazığ'ın Alacakaya ilçesinde bulunan Eti Krom Yıldırım A.Ş'ye ait maden ocaklarında çalışan işçiler, çalışma şartlarının düzeltilmesi ve ücretlerine zam yapılmasını talep ederek eylem başlattı. İşçiler, talepleri karşılanana kadar eylemlerine devam edeceklerini belirtti.  ",Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar
299,2024-11-18 00:00:00,alanya,antalya,Alanya'da Eşini Balkondan İtmekten Ömür Boyu Hapis Cezası Aldı,"  Alanya'da Gamze Yağlıoğlu'nun balkondan düşmesi sonucu yaşamını yitirmesi üzerine, eşi Alper Yağlıoğlu, ağırlaştırılmış müebbet hapis cezasına çarptırıldı. Gamze'nin annesi, kızının cinayete kurban gittiğini vurgulayarak adalet istedi.  ",Şiddet Suçları
303,2024-11-21 00:00:00,alanya,antalya,Alanya'da Kreşte Hırsızlık Yapan Mahkum Yakalandı,"  Alanya'da cezaevinden izinli çıkan Rasim Tugay Meydan, bir kreşte hırsızlık yaptığı tespit edildikten sonra Mersin'de yakalandı. Üzerinde çalınan dizüstü bilgisayar ve cep telefonlarıyla birlikte ele geçirildi.  ",Mala Karşı İşlenen Suçlar
305,2024-08-31 00:00:00,alaplı,zonguldak,Zonguldak'ta traktör kazası: Sürücü ağır yaralandı,"  Zonguldak'ın Alaplı ilçesine bağlı Gümeli Beldesi'nde meydana gelen traktör kazasında sürücü, direksiyon hakimiyetini kaybederek 200 metreden dereye yuvarlandı. Kazayı gören vatandaşlar tarafından sağlık ekiplerine haber verildi. Kurtarılan sürücü, Ereğli Devlet Hastanesi'ne sevk edildi ve sağlık durumu ciddiyetini koruyor.  ",Şiddet Suçları
310,2024-11-14 00:00:00,alaplı,zonguldak,Zonguldak'ta Uyuşturucu Operasyonu: Bir Şüpheli Tutuklandı,"  Alaplı'da düzenlenen operasyonda uyuşturucu madde ele geçirildi, bir şüpheli tutuklandı.  ",Narkotik Suçları
317,2024-09-22 00:00:00,alaçam,samsun,Samsun'da Ruhsatsız Silahlar Ele Geçirildi,  Alaçam'da yapılan denetimde ruhsatsız silah ve mermilerle 2 kişi gözaltına alındı.  ,Şiddet Suçları
318,2024-11-21 00:00:00,alaçam,samsun,Samsun'da Uyuşturucu ve Tüfek Ele Geçirildi,  Alaçam'da yapılan operasyonda 1 kg esrar ve ruhsatsız tüfek ele geçirildi; şüpheli serbest bırakıldı.  ,Narkotik Suçları
319,2024-05-09 00:00:00,alaçam,samsun,Samsun'da FETÖ'den Aranan Hükümlü Çatı Katında Yakalandı,"  Samsun'da düzenlenen operasyonda, FETÖ üyesi olması nedeniyle 6 yıl 3 ay hapis cezası bulunan N.İ. çatı katında saklanırken yakalandı. Terörle Mücadele Şubesi ve Alaçam İlçe Emniyet Müdürlüğü ekipleri, aranan hükümlüyü ele geçirerek cezaevine gönderdiler.  ",Organize Örgüt Suçları
321,2024-09-28 00:00:00,alaşehir,manisa,Cami İmamına Saldırı,"  Alaşehir'de bir kişi, camide imamı plastik tabureyle darp etti. Olay güvenlik kameralarına yansıdı.  ",Şiddet Suçları
