,tarih,city,city2,title,content,suc_turu_title,suc_turu_content
10,2020-01-04 00:00:00,acıgöl,nevşehir,"Aile Hekiminden, Sağlık İl Müdürlüğüne teşekkür","  Nevşehir'in Acıgöl ilçesinde bulunan entegre hastanesinde görevli doktor Hakan Gürbüz, Sağlık İl Müdürlüğü tarafından korona virüse karşı alınan tedbirler kapsamında doktor ve sağlık çalışanlarını düşündüğü için teşekkür etti.  ","{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
11,2022-08-20 00:00:00,acıgöl,nevşehir,Nesli tehlikedeki 5 endemik balık koruma altında,"  TÜRKİYE'de nesli yok olma tehlikesindeki endemik balık türlerinden 5'i, laboratuvarda korumaya alındı.  ","{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
12,2020-02-08 00:00:00,acıgöl,nevşehir,KONYA Acıgöl'ün suları 6- 7 metre çekildi,  7 metre çekildiKONYA'nın Karapınar ilçesindeki volkanik patlama sonucu oluşan Acıgöl'ün su seviyesi gün geçtikçe azalmaya başladı.  ,"{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
13,2020-10-22 00:00:00,acıgöl,nevşehir,"Nevşehir'de feci kaza: 1 ölü, 2 yaralı",  Nevşehir'in Acıgöl ilçesinde meydana gelen trafik kazasında aracın şarampole yuvarlanması sonucu 1 kişi hayatını kaybederken 2 kişi de yaralandı.  ,"{
  ""suç_türü"": ""Şiddet Suçları""
}","{""suç_türü"": ""Şiddet Suçları""}"
14,2019-03-10 00:00:00,acıgöl,nevşehir,"Acıgöl ve Gülşehir Belediye başkanları, Nevşehir Belediyespor'a destek verdi","  TFF. 3. Lig'deki temsilcimiz Nevşehir Belediyespor'a destek sağlayan Acıgöl Belediye Başkanı Ercan Ertaş ve Gülşehir Belediye Başkanı Fatih Çiftçi'yi ziyaret eden kırmızı-beyazlı ekibin yöneticileri, belediye başkanlarına kulübün formasını hediye etti.  ","{
""suç_türü"": ""Hiçbiri""
}","{
  ""suç_türü"": ""Hiçbiri""
}"
15,2019-09-27 00:00:00,acıgöl,nevşehir,Kamyonun altında kalan sürücü feci şekilde can verdi,"  Nevşehir'in Acıgöl ilçesine bağlı Topaç köyünde freni boşalan kamyonun altında kalan sürücü, feci şekilde can verdi.  ","{""suç_türü"": ""Şiddet Suçları""}","{""suç_türü"": ""Şiddet Suçları""}"
16,2024-09-10 00:00:00,acıpayam,denizli,Denizli'de Trafik Kazası: Bir Genç Hayatını Kaybetti,"  Denizli Acıpayam'da otomobil, römorka çarptı; bir genç öldü, diğeri ağır yaralandı.  ","{
   ""suç_türü"": ""Şiddet Suçları""
}","{""suç_türü"": ""Şiddet Suçları""}"
17,2024-07-13 00:00:00,acıpayam,denizli,Denizli'de trafik kazasında motosiklet sürücüsü hayatını kaybetti,"  Denizli'nin Acıpayam ilçesinde meydana gelen trafik kazasında, ana yoldan gelen otomobil, tali yoldan ana yola bağlanmak isteyen motosiklete çarptı. Çarpışmanın etkisiyle yola savrulan motosiklet sürücüsü hayatını kaybetti. Olayla ilgili soruşturma başlatıldı.  ","{""suç_türü"": ""Şiddet Suçları""}","{""suç_türü"": ""Şiddet Suçları""}"
18,2024-04-19 00:00:00,acıpayam,denizli,"Muğla Ege Yıldızları, Süper Lig maçlarını Alanya'da oynuyor","  Muğla Ege Yıldızları Spor Kulübü, Türkiye Kadınlar Hokey Süper Ligi Salon Sezonu'nu Türkiye Süper Ligi Şampiyonu olarak tamamladı. Ancak Muğla'da sahası olmadığı için maçlarını Alanya'da oynuyor. Son maçta Denizli Acıpayam Belediyespor'u 6-1 mağlup eden takım, Süper Lig B grubunda liderliğe yükseldi. Ancak kulüp başkanı ve antrenör Serkan Şen, Muğla'dan yeterince destek alamadıklarını belirterek diğer illerden teklifler aldıklarını söyledi.  ","{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
19,2024-08-26 00:00:00,acıpayam,denizli,Denizli'de 12 Eylül darbesi döneminde belde belediye başkanı hayatını kaybetti,"  Denizli'de 12 Eylül 1980 darbesi döneminde Acıpayam'ın Alaattin Mahallesi'nde Belde Belediye Başkanı olarak görev yapan emekli astsubay İbrahim Merih, 90 yaşında hayatını kaybetti. Merih'in ölümü ailesini ve yakınlarını yasa boğdu.  ","{""suç_türü"": ""Şiddet Suçları""}","{""suç_türü"": ""Hiçbiri""}"
20,2024-03-25 00:00:00,acıpayam,denizli,"AK Parti İl Başkanı Güngör, Yeşilyuva Mahallesi'ne Ayakkabı İmalat Sanayi Sitesi Müjdesi Verdi","  AK Parti İl Başkanı Yücel Güngör, Denizli'nin Acıpayam ilçesini ziyaret ederek, ilçeye bağlı ürettiği ayakkabılarıyla ünlü Yeşilyuva Mahallesi'ne daha büyük ve modern bir ayakkabı imalat sanayi sitesi kurulacağını müjdeledi. Güngör ayrıca diğer ilçeleri de ziyaret ederek seçim çalışmalarına destek verdi ve şehit ailesine taziye ziyaretinde bulundu.  ","{""suç_türü"": ""Hiçbiri""}","{
  ""suç_türü"": ""Hiçbiri""
}"
21,2024-05-30 00:00:00,acıpayam,denizli,Denizli'de Dolu Yağışı Tarım Arazilerine Büyük Zarar Verdi,"  Denizli'de etkili olan dolu yağışı nedeniyle Acıpayam ilçesinde tarım arazileri büyük hasar gördü. Ak Parti İl Başkanı Yücel Güngör, yapılan incelemede ekili ve dikili ürünlerde yüzde 80 oranında zarar olduğunu belirtti. Dolu yağışının etkilediği Akalan ve Aliveren mahallelerinde çiftçilere geçmiş olsun dileklerini ileten Güngör, zararın boyutunun ilerleyen günlerde tam olarak ortaya çıkacağını ifade etti.  ","{""suç_türü"": ""Hiçbiri""}","{
  ""suç_türü"": ""Hiçbiri""
}"
22,2024-01-06 00:00:00,acıpayam,denizli,"Deniz Uçkun, yalnız yaşadığı evde çıkan yangında hayatını kaybetti","  Denizlili bir kişi olan Deniz Uçkun, Acıpayam ilçesindeki evinde çıkan yangında hayatını kaybetti. Yangın, saat 03.00 sıralarında başladı ve itfaiye ekiplerinin müdahalesiyle söndürüldü. Evde yapılan incelemede Uçkun'un cesedi bulundu. Yangının çıkış nedeni ise henüz belirlenemedi.  ","{""suç_türü"": ""Şiddet Suçları""}","{""suç_türü"": ""Şiddet Suçları""}"
23,2024-02-17 00:00:00,acıpayam,denizli,Denizli'de Komşuları Tarafından Öldürülen Şahin Demirten'in Katili Tutuklandı,"  Denizli'nin Acıpayam ilçesinde yaşanan olayda, komşusu tarafından kaza süsü verilerek öldürülen Şahin Demirten'in katili tutuklandı. Diğer aile üyeleri ise adli kontrol şartıyla serbest bırakıldı. Olayın ardından ortaya çıkan bir fotoğrafta, katil ve kurbanın 20 yıl önce çekilmiş bir fotoğrafı yer aldı.  ","{""suç_türü"": ""Şiddet Suçları""}","{""suç_türü"": ""Şiddet Suçları""}"
24,2023-01-09 00:00:00,adaklı,bingöl,"Bingöl Valisi Ahmet Hamdi Usta, Sancak Beldesi ile Kiğı ve Adaklı ilçelerini ziyaret etti","  Bingöl Valisi Ahmet Hamdi Usta, Sancak Beldesi ile Kiğı ve Adaklı ilçelerini ziyaret ederek vatandaşların taleplerini dinledi.  ","{""suç_türü"": ""Hiçbiri""}","{
  ""suç_türü"": ""Hiçbiri""
}"
25,2020-07-30 00:00:00,adaklı,bingöl,Dağ keçileri böyle görüntülendi,"  Dağ keçileri böyle görüntülendi Bingöl'ün Adaklı ilçesinde bir vatandaş, dağdan bahçesine inen dağ keçilerini görüntüledi.  ","{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
26,2020-09-05 00:00:00,adaklı,bingöl,Otomobilinin bagajından gelen gizemli sesin kaynağı kuş yavruları çıktı,"  Otomobilinin bagajından gelen gizemli sesin kaynağı kuş yavruları çıktı Tampona yuva yapan kuşlardan dolayı 15 gündür otomobiline binemiyor Osmaniye'nin Kadirli ilçesinde otomobilin arka kısmından gelen sesleri duyan adam, gizemli sesin tampona yuva yapan kuş yavruları olduğunu anladı.  ","{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
27,2020-03-09 00:00:00,adaklı,bingöl,Son dakika haber | Bingöl'de terör örgütüne ait malzemeler ele geçirildi,"  Son dakika haberine göre Bingöl'ün Adaklı ilçesi kırsalında jandarma timleri tarafından bölücü terör örgütüne yönelik düzenlenen operasyonda 20 adet tüp, çok sayıda pil ve muhtelif yaşam malzemelerinin ele geçirildiği bildirildi.  ","{""suç_türü"": ""Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar""}","{""suç_türü"": ""Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar""}"
28,2023-02-26 00:00:00,adaklı,bingöl,BİNGÖL'DE HUSUMETLİ AİLELER BARIŞTIRILDI,"  BİNGÖL'ün Adaklı ilçesinde 4 yıl önce aralarında husumet başlayan Şam ve Dumlu aileleri, düzenlenen törenle barıştırıldı.  ","{""suç_türü"": ""Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar""}","{""suç_türü"": ""Şiddet Suçları""}"
29,2023-02-12 00:00:00,adaklı,bingöl,Adaklı Kaymakamı Kamışgölü köyünü ziyaret etti,"  Adaklı İlçe Kaymakamı Koray Çelik, Kamışgölü köyünü ziyaret ederek vatandaşları dinledi ve köy camisi inşaatını inceledi.  ","{""suç_türü"": ""Hiçbiri""}","{
  ""suç_türü"": ""Hiçbiri""
}"
30,2024-07-11 00:00:00,adaklı,bingöl,Yüksekova'da Yeni Cami Açıldı,"  Adaklı köyünde 1500 kişilik cami, Hakkari Valisi'nin katılımıyla dualarla ibadete açıldı.  ","{""suç_türü"": ""Hiçbiri""}","{
  ""suç_türü"": ""Hiçbiri""
}"
31,2019-01-13 00:00:00,adaklı,bingöl,Köy Yolunda Mahsur Kalanlar Kurtarıldı - Hakkari,  Hakkari'nin Yüksekova ilçesinde kardan kapanan yolda kalan 10 araçtaki vatandaşlar kurtarıldı.  ,"{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
32,2024-02-22 00:00:00,adalar,i̇stanbul,Adalar Spor Kompleksi'nin yapımı tamamlandı,"  Gençlik ve Spor İl Müdürlüğü tarafından Büyükada'da, Ak Parti İstanbul Adalar İlçesi Başkan Adayı Uğur Sina Şen ve ekibinin çalışmalarıyla Adalar'a kazandırılan 524 kişilik kapalı spor salonunun yapımı tamamlandı. Salon, basketbol, voleybol, futsal, karete, kung-fu, hentbol gibi salon sporlarının gerçekleştirileceği ve adalı gençler tarafından kullanılacak bir tesis olarak hizmet verecek.  ","{
  ""suç_türü"": ""Hiçbiri""
}","{
  ""suç_türü"": ""Hiçbiri""
}"
33,2021-04-10 00:00:00,adalar,i̇stanbul,Adalar'da elektrikli araçların kaldırılması gerginliği,  - Adalar'da elektrikli araçların kaldırılması gerginliği Adalar'da UKOME kararıyla 5 Ekim'den itibaren Adalar'da elektrikli araç kullanımının yasaklanması ada sakinleri tarafından tepkilere yol açtı.  ,"{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
34,2024-08-16 00:00:00,adalar,i̇stanbul,Yunan Adalarında Tatil Türkiye'ye Göre Daha Ucuz Ama Farklı,"  ANTALYA Kent Konseyi Turizm Çalışma Grubu Başkanı Recep Yavuz, Yunan adalarında tatilin Türkiye'ye göre daha ucuz olduğu algısını, elmayla armudun karşılaştırılmasına benzetti. Türkiye'deki dört veya beş yıldızlı otellerle adalardaki bir oteli karşılaştırmanın aynı şey olmadığını kaydeden Yavuz, 'Buradan giden Türkleri izlerseniz, hemen hemen hepsi günü otel dışında geçiriyor. Adaları geziyor. Yani onlar her şey dahil turisti değil' dedi. Yavuz, yılda yaklaşık 1 milyon civarında Türkün Yunan adalarına gidip geldiğini açıkladı.  ","{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
35,2022-01-09 00:00:00,adalar,i̇stanbul,İSTANBUL-PAŞABAHÇE VAPURU 12 YIL SONRA İLK SEFERİNİ YAPTI,  TARİHİ Paşabahçe Vapuru 12 yıl aradan sonra ilk seferini yaptı.  ,"{
  ""suç_türü"": ""Hiçbiri""
}","{""suç_türü"": ""Hiçbiri""}"
36,2024-07-24 00:00:00,adalar,i̇stanbul,"CHP Genel Başkanı Özgür Özel, Adalar Belediyesi'ni Ziyaret Etti","  CHP Genel Başkanı Özgür Özel, Adalar Belediyesi'ni ziyaret ederek depreme dayanıklı yapı açıklaması yaptı. Özel, yerel yöneticilere deprem ve depreme karşı dayanıksızlık konusunda ihmalkar olmamaları gerektiğini ifade etti. Ayrıca, Adalar Belediye Başkanı Ali Ercan Akpolat'ın Adalar'da bir hasreti sona erdirdiğini belirtti ve toplu taşıma sorununun Ada'nın talebi doğrultusunda çözüleceğini söyledi.  ","{""suç_türü"": ""Hiçbiri""}","{
  ""suç_türü"": ""Hiçbiri""
}"
37,2024-02-22 00:00:00,adalar,i̇stanbul,Büyükada'ya 524 Kişilik Kapalı Spor Salonu Kazandırıldı,"  Gençlik ve Spor İl Müdürlüğü tarafından Büyükada'da, Ak Parti İstanbul Adalar İlçesi Başkan Adayı Uğur Sina Şen ve ekibinin çalışmalarıyla Adalar'a kazandırılan 524 kişilik kapalı spor salonunun yapımı tamamlandı. Salon, basketbol, voleybol, futsal, karete, kung-fu, hentbol gibi salon sporlarının gerçekleştirileceği ve adalı gençler tarafından kullanılacak bir tesis olarak hizmet verecek.  ","{
  ""suç_türü"": ""Hiçbiri""
}","{""suç_türü"": ""Hiçbiri""}"
38,2021-04-10 00:00:00,adalar,i̇stanbul,BÜYÜKADA SAKİNLERİ AKÜLÜ ARAÇLARIN KALDIRILMASINI PROTESTO ETTİ,"  BÜYÜKADA sakinleri, Adalar'da akülü araç kullanımının yasaklanmasını protesto etti.  ","{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
39,2023-12-19 00:00:00,adalar,i̇stanbul,"Adaların Atları Platformu, atların sağlıklı koşullarda bakılmasını talep etti","  Adaların Atları Platformu üyeleri, Adalar'dan farklı bölgelerdeki barınaklara gönderilen atların kapalı alanlardan çıkarılarak sağlıklı koşullarda bakılmasını talep etti. Büyükada Saatli Meydan'da bir araya gelen platform üyeleri, atların durumunu sorgulayan pankartlar açtı. Platform gönüllülerinden Zekiye Kürkçüoğlu, atların karantinaya alındığını ve kapalı ahırlarda tutulduğunu belirterek, atların düzenli olarak dışarı çıkarılmasını talep etti.  ","{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
40,2024-06-11 00:00:00,adana,adana,Adana'da Uyuşturucu Operasyonu,"  Seyhan'da yapılan operasyonda 1.9 kg kokain ve 12 bin uyuşturucu hap ele geçirildi, 1 kişi gözaltında.  ","{""suç_türü"": ""Narkotik Suçları""}","{""suç_türü"": ""Narkotik Suçları""}"
41,2024-06-11 00:00:00,adana,adana,Adana'da Uyuşturucu Operasyonu: Zanlı Tutuklandı,"  Adana'da düzenlenen operasyonda 1.9 kg kokain ve 12.992 hap ele geçirildi, bir kişi tutuklandı.  ","{
  ""suç_türü"": ""Narkotik Suçları""
}","{""suç_türü"": ""Narkotik Suçları""}"
42,2024-01-11 00:00:00,adana,adana,Adana'da Otoyol Kenarında Yangın Söndürüldü,  Adana'nın Sarıçam ilçesinde otoyol kenarındaki ağaçlık alanda çıkan yangın itfaiye tarafından söndürüldü.  ,"{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
43,2024-01-11 00:00:00,adana,adana,Kozan'da Uyuşturucu Hap Operasyonu,  Adana'nın Kozan ilçesinde evinin bahçesinde bin 569 uyuşturucu hap ele geçirilen şüpheli tutuklandı.  ,"{""suç_türü"": ""Narkotik Suçları""}","{
  ""suç_türü"": ""Narkotik Suçları""
}"
44,2024-09-11 00:00:00,adana,adana,Taksi Şoföründen Pompalı Tüfekli Saldırı,"  Adana'da bir taksi şoförü, yolcu anlaşmazlığı sonrası rakip şoförü ve akrabalarını vurdu.  ","{""suç_türü"": ""Şiddet Suçları""}","{""suç_türü"": ""Şiddet Suçları""}"
45,2024-11-13 00:00:00,adana,adana,Adana'da Kaza: Araç Refüjdeki Ağaçlara Çarptı,  Adana'da direksiyon hakimiyetini kaybeden sürücünün aracı devrildi; yaralılar hastaneye kaldırıldı.  ,"{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Şiddet Suçları""}"
46,2024-11-20 00:00:00,adana,adana,Uyuşturucu Tüccarı Yakalandı,"  Adana'da, 21 yıl cezası olan Şahin K., sahte kimlikle yakalanarak uyuşturucu ile sevk edildi.  ","{""suç_türü"": ""Narkotik Suçları""}","{""suç_türü"": ""Narkotik Suçları""}"
47,2024-11-13 00:00:00,adana,adana,KUYU-37 Operasyonu: 282 Şüpheli Gözaltında,"  Adana merkezli operasyonda 9'u kadın 282 şüpheli, organize suç örgütüyle bağlantılı olarak yakalandı.  ","{""suç_türü"": ""Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar""}","{""suç_türü"": ""Organize Örgüt Suçları""}"
48,2024-09-13 00:00:00,adapazarı,sakarya,Adapazarı'nda Trafik Kazası: 4 Yaralı,  Sakarya'nın Adapazarı ilçesinde iki otomobilin çarpışması sonucu meydana gelen trafik kazasında 4 kişi yaralandı. Kazaya ilişkin inceleme başlatıldı.  ,"{
  ""suç_türü"": ""Hiçbiri""
}","{""suç_türü"": ""Hiçbiri""}"
49,2024-10-29 00:00:00,adapazarı,sakarya,Kavgadan Kaçarken Hayatını Kaybetti,"  Adapazarı'nda kavga sırasında çelme takılan genç, otomobilin altında kalarak 4 gün sonra öldü.  ","{""suç_türü"": ""Şiddet Suçları""}","{""suç_türü"": ""Şiddet Suçları""}"
50,2024-05-11 00:00:00,adapazarı,sakarya,Alkollü Sürücü 11 Yaşındaki Kızı Hayatından Etti,"  Sakarya'da 3,34 promil alkollü sürücü, yaya geçidinden geçen 11 yaşındaki kızı ezip kaçtı.  ","{""suç_türü"": ""Şiddet Suçları""}","{""suç_türü"": ""Şiddet Suçları""}"
51,2024-10-11 00:00:00,adapazarı,sakarya,Adapazarı'nda Motosiklet Kazası,  Sakarya'nın Adapazarı ilçesinde motosikletin refüje çarpması sonucu 1 kişi yaralandı.  ,"{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Şiddet Suçları""}"
52,2024-08-31 00:00:00,adapazarı,sakarya,Sakarya'da Mahalle Sakinleri Uyuşturucu ve Kaçak Yapılara Tepki Gösterdi,"  Sakarya'nın Adapazarı ilçesindeki Karaköy Mahallesi'nde uyuşturucu ticareti ve kaçak yapılaşma nedeniyle mahalle sakinleri, sokağı ulaşıma kapattı. Polis ekiplerinin ikna çalışmaları sonucunda yol yeniden açıldı. Mahalle sakinleri, yetkililerden destek isteyerek güvenli bir yaşam talep etti.  ","{""suç_türü"": ""Narkotik Suçları""}","{
  ""suç_türü"": ""Narkotik Suçları""
}"
53,2024-10-30 00:00:00,adapazarı,sakarya,Öldüren Çelme Olayında 3 Gözaltı,  Sakarya'da bir gencin ölümüne sebep olan olayda 3 şüpheli gözaltına alındı.  ,"{""suç_türü"": ""Şiddet Suçları""}","{""suç_türü"": ""Şiddet Suçları""}"
54,2024-05-11 00:00:00,adapazarı,sakarya,"Alkollü Sürücü Çocuğu Öldürdü, Tutuklandı","  Sakarya'da alkollü sürücünün çarptığı 11 yaşındaki Zühre Deniz Akdağ yaşamını yitirdi, tutuklandı.  ","{""suç_türü"": ""Şiddet Suçları""}","{""suç_türü"": ""Şiddet Suçları""}"
55,2024-10-25 00:00:00,adapazarı,sakarya,Metruk Yapıda Yangın: Doğalgaz Borusu Patladı,"  Sakarya'da metruk yapıda çıkan yangın, doğalgaz borusunu patlattı; ekipler facianın önüne geçti.  ","{""suç_türü"": ""Şiddet Suçları""}","{""suç_türü"": ""Hiçbiri""}"
56,2024-10-22 00:00:00,adilcevaz,bitlis,Van Gölü'nde Mikrobiyalit Tarlaları,"  Van Gölü'ndeki su seviyesi düşüşü, kıyılarda mikrobiyalitlerin ortaya çıkmasına neden oldu.  ","{
  ""suç_türü"": ""Hiçbiri""
}","{""suç_türü"": ""Hiçbiri""}"
57,2024-08-18 00:00:00,adilcevaz,bitlis,Urartu dönemine ait buluntular Kef Kalesi'nde ortaya çıkarıldı,"  Bitlis'in Adilcevaz ilçesindeki Kef Kalesi'nde yapılan arkeolojik kazılarda, Urartu dönemine ait önemli buluntular ortaya çıkarıldı. Kazı çalışmalarını yürüten ekip, kaledeki salon bölümünde fil ayakları, çakmak taşı, obsidiyen aletler, seramikler ve hayvan kemikleri buldu. Kef Kalesi, Urartu döneminde en çok bazalt taşı kullanılan tek kale olarak biliniyor.  ","{
  ""suç_türü"": ""Hiçbiri""
}","{""suç_türü"": ""Hiçbiri""}"
58,2024-09-17 00:00:00,adilcevaz,bitlis,Arin Gölü Flamingolarla Şenlendi,"  Adilcevaz'daki Arin Gölü, göçmen flamingolarla dolup taştı, doğa fotoğrafçılarının ilgisini çekti.  ","{""suç_türü"": ""Hiçbiri""}","{
  ""suç_türü"": ""Hiçbiri""
}"
59,2024-06-26 00:00:00,adilcevaz,bitlis,Van Gölü'nde sürüklenen 4 kişi Sahil Güvenlik tarafından kurtarıldı,"  Bitlis'in Adilcevaz ilçesinde kanoyla Van Gölü'nün açıklarına sürüklenen 4 kişi, Sahil Güvenlik Komutanlığı ekiplerince kurtarıldı. Adilcevaz Dalış Okulu'nun bulunduğu bölgede kano ile göle açılan 4 kişi rüzgarın etkisiyle sürüklenmeye başladı. Sahil Güvenlik, polis ve UMKE ekipleri tarafından başlatılan arama kurtarma çalışması sonucunda 4 kişi bulunarak kurtarıldı. Olayda yaralanan olmazken, 4 kişi hastanede kontrol amaçlı tedavi edildi.  ","{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
60,2024-09-16 00:00:00,adilcevaz,bitlis,Van Gölü'nde Dev Mikrobiyalit Keşfi!,"  Adilcevaz'da dalgıçlar, 34.6 metre uzunluğunda mikrobiyalit buldu; turizme kazandırılacak.  ","{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
61,2024-09-20 00:00:00,adilcevaz,bitlis,Adilcevaz'da Sel Felaketi,  Adilcevaz'da etkili olan yağmur tarım arazilerine zarar vererek sel oluşturdu.  ,"{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
62,2024-02-21 00:00:00,adilcevaz,bitlis,Bitlis Eren Üniversitesi Rektörü öğrencilerle buluştu,"  Bitlis Eren Üniversitesi Rektörü Prof. Dr. Necmettin Elmastaş, Adilcevaz Meslek Yüksekokulu öğrencileriyle bir araya geldi. Elmastaş, öğrencilere üniversite yıllarını en verimli şekilde değerlendirmeleri gerektiğini vurguladı. Ayrıca, öğrenci kulüpleri ve sosyal aktivitelerin de üniversite yaşamının önemli bir parçası olduğunu belirtti.  ","{""suç_türü"": ""Hiçbiri""}","{
  ""suç_türü"": ""Hiçbiri""
}"
